Rank,Company,Earnings
1,Toyota,$38.55 B
2,BMW,$29.05 B
3,Volkswagen,$24.51 B
4,Mercedes-Benz,$23.01 B
5,Hyundai,$18.95 B
6,Kia,$15.20 B
7,Ford,$15.09 B
8,Tesla,$11.89 B
9,General Motors,$11.85 B
10,Honda,$9.21 B
11,Porsche,$8.22 B
12,BYD,$5.18 B
13,Nissan,$4.79 B
14,SAIC Motor,$4.13 B
15,Suzuki Motor,$3.12 B
16,Subaru,$2.94 B
17,Stellantis,$2.78 B
18,Mahindra & Mahindra,$2.67 B
19,Renault,$2.30 B
20,Isuzu,$2.15 B
21,Volvo Car,$1.74 B
22,Mazda,$1.71 B
23,Maruti Suzuki India,$1.70 B
24,Ferrari,$1.63 B
25,Ford Otosan,$1.42 B
26,Dongfeng Motor,$1.21 B
27,Mitsubishi Motors,$1.15 B
28,Chongqing Changan,$0.92 B
29,Great Wall Motors,$0.91 B
30,Li Auto,$0.90 B
31,Polaris,$0.86 B
32,Tofaş Türk Otomobil Fabrikası,$0.83 B
33,Geely,$0.67 B
34,Tata Motors,$0.66 B
35,Hotai Motor,$0.60 B
36,GAC (Guangzhou Automobile Group),$0.48 B
37,FAW Car,$0.15 B
38,Force Motors,$57.95 M
39,Kandi Technologies Group,-$4.19 M
40,Phoenix Motor,-$15.3 M
41,NWTN Inc.,-$41.22 M
42,Cenntro Electric Group,-$48.27 M
43,Arcimoto,-$51.4 M
44,Electra Meccanica,-$92.13 M
45,REE Automotive,-$0.11 B
46,Canoo,-$0.36 B
47,Faraday Future,-$0.37 B
48,Aston Martin,-$0.38 B
49,Fisker,-$0.51 B
50,Polestar,-$0.51 B
51,Seres Group,-$0.64 B
52,Leapmotor,-$0.74 B
53,Nikola,-$0.93 B
54,Mullen Automotive,-$1.42 B
55,Arrival,-$1.45 B
56,XPeng,-$1.62 B
57,VinFast Auto,-$2.03 B
58,Lucid Motors,-$2.63 B
59,NIO,-$2.94 B
60,Rivian,-$5.46 B
