Rank,Category,Company,Market_Capital,Country
1,🚗 Automakers,Tesla,755.72 B,USA
2,🚗 Automakers,Toyota,253.75 B,Japan
3,🚗 Automakers,BYD,87.30 B,China
4,🚗 Automakers,Porsche,85.95 B,Germany
5,🚗 Automakers,Mercedes-Benz,68.53 B,Germany
6,🚗 Automakers,BMW,67.62 B,Germany
7,🚗 Automakers,Ferrari,66.68 B,Italy
8,🚗 Automakers,Stellantis,63.06 B,Netherlands
9,🚗 Automakers,Volkswagen,62.24 B,Germany
10,🚗 Automakers,Honda,51.40 B,Japan
11,🚗 Automakers,Li Auto,42.73 B,China
12,🚗 Automakers,Ford,41.95 B,USA
13,🚗 Automakers,General Motors,38.70 B,USA
14,🚗 Automakers,Maruti Suzuki India,38.12 B,India
15,🚗 Automakers,Hyundai,34.20 B,S. Korea
16,🚗 Automakers,Tata Motors,29.65 B,India
17,🚗 Automakers,Great Wall Motors,27.08 B,China
18,🚗 Automakers,Kia,25.51 B,S. Korea
19,🚗 Automakers,SAIC Motor,23.83 B,China
20,🚗 Automakers,Mahindra & Mahindra,23.18 B,India
21,🚗 Automakers,Chongqing Changan,21.40 B,China
22,🚗 Automakers,Suzuki Motor,19.47 B,Japan
23,🚗 Automakers,XPeng,17.89 B,China
24,🚗 Automakers,Seres Group,16.02 B,China
25,🚗 Automakers,Nissan,15.62 B,Japan
26,🚗 Automakers,Rivian,15.58 B,USA
27,🚗 Automakers,VinFast Auto,14.84 B,Vietnam
28,🚗 Automakers,NIO,13.89 B,China
29,🚗 Automakers,Subaru,13.60 B,Japan
30,🚗 Automakers,Hotai Motor,12.22 B,Taiwan
31,🚗 Automakers,Volvo Car,12.06 B,Sweden
32,🚗 Automakers,Geely,11.84 B,China
33,🚗 Automakers,GAC (Guangzhou Automobile Group),11.59 B,China
34,🚗 Automakers,Renault,11.04 B,France
35,🚗 Automakers,Isuzu,9.97 B,Japan
36,🚗 Automakers,Ford Otosan,9.96 B,Turkey
37,🚗 Automakers,Lucid Motors,9.82 B,USA
38,🚗 Automakers,Mazda,7.04 B,Japan
39,🚗 Automakers,FAW Car,6.02 B,China
40,🚗 Automakers,Leapmotor,5.84 B,China
41,🚗 Automakers,Polaris,5.12 B,USA
42,🚗 Automakers,Mitsubishi Motors,4.94 B,Japan
43,🚗 Automakers,Polestar,4.45 B,Sweden
44,🚗 Automakers,Tofaş Türk Otomobil Fabrikası,4.15 B,Turkey
45,🚗 Automakers,Dongfeng Motor,3.93 B,China
46,🚗 Automakers,Aston Martin,2.44 B,UK
47,🚗 Automakers,NWTN Inc.,2.07 B,UAE
48,🚗 Automakers,Nikola,1.01 B,USA
49,🚗 Automakers,Fisker,0.76 B,USA
50,🚗 Automakers,Force Motors,0.63 B,India
51,🚗 Automakers,Kandi Technologies Group,0.24 B,China
52,🚗 Automakers,Canoo,0.23 B,USA
53,🚗 Automakers,Mullen Automotive,71.83 M,USA
54,🚗 Automakers,Cenntro Electric Group,69.74 M,USA
55,🚗 Automakers,Electra Meccanica,49.38 M,Canada
56,🚗 Automakers,REE Automotive,36.91 M,Israel
57,🚗 Automakers,Phoenix Motor,26.82 M,USA
58,🚗 Automakers,Arrival,22.41 M,UK
59,🚗 Automakers,Faraday Future,9.26 M,USA
60,🚗 Automakers,Arcimoto,6.16 M,USA
