Rank,Company,PE_Ratio
1,Dongfeng Motor,2.78
2,Hyundai,2.95
3,Mitsubishi Motors,3.79
4,Volkswagen,3.88
5,General Motors,3.93
6,Mercedes-Benz,4.16
7,Kia,4.54
8,BMW,5.58
9,Mazda,5.81
10,Ford,6.66
11,Ford Otosan,6.82
12,Tofaş Türk Otomobil Fabrikası,6.89
13,Nissan,7.52
14,Subaru,7.69
15,Isuzu,8.39
16,Honda,8.44
17,Volvo Car,8.49
18,Polaris,8.67
19,Toyota,9.15
20,Suzuki Motor,11.6
21,SAIC Motor,12.3
22,Mahindra & Mahindra,14.6
23,GAC (Guangzhou Automobile Group),15.0
24,Chongqing Changan,16.0
25,Geely,16.5
26,Force Motors,19.9
27,Maruti Suzuki India,28.7
28,BYD,32.4
29,Great Wall Motors,35.9
30,Ferrari,52.1
31,Tesla,68.7
32,Li Auto,156
33,Tata Motors,341
34,Renault,-28.3
35,Nikola,-0.5949
36,NIO,-4.14
37,Aston Martin,-463
38,Hotai Motor,-35.9
39,XPeng,-12.2
40,Electra Meccanica,-0.4353
41,Arcimoto,-0.0403
42,Fisker,-1.28
43,FAW Car,< -1000
44,Stellantis,10.6
45,Canoo,-0.3161
46,Arrival,-0.0104
47,Lucid Motors,-2.94
48,Rivian,-2.47
49,REE Automotive,-0.4988
50,Cenntro Electric Group,-1.35
51,Mullen Automotive,-0.0013
52,Faraday Future,-0.0063
53,Phoenix Motor,-1.71
54,Polestar,-15.3
55,Kandi Technologies Group,-55.5
57,Leapmotor,-12.2
58,VinFast Auto,-5.98
59,NWTN Inc.,-172
60,Seres Group,-30.6
