Rank,Company,Revenue
1,Volkswagen,335.04 B
2,Toyota,296.61 B
3,Ford,174.22 B
4,General Motors,171.97 B
5,Mercedes-Benz,165.68 B
6,BMW,163.59 B
7,Honda,132.11 B
8,Hyundai,121.95 B
9,SAIC Motor,105.03 B
10,Stellantis,101.32 B
11,Tesla,95.92 B
12,Nissan,86.12 B
13,BYD,82.09 B
14,Kia,75.37 B
15,Renault,49.68 B
16,Tata Motors,44.16 B
17,Porsche,44.15 B
18,Volvo Car,37.20 B
19,Suzuki Motor,35.77 B
20,Mazda,32.27 B
21,Subaru,30.37 B
22,Isuzu,24.01 B
23,Great Wall Motors,22.27 B
24,Geely,21.45 B
25,Chongqing Changan,20.46 B
26,Mitsubishi Motors,18.88 B
27,GAC (Guangzhou Automobile Group),18.10 B
28,Mahindra & Mahindra,15.84 B
29,Maruti Suzuki India,14.90 B
30,Li Auto,14.08 B
31,Dongfeng Motor,13.43 B
32,Ford Otosan,12.68 B
33,Polaris,9.04 B
34,Hotai Motor,8.08 B
35,FAW Car,7.91 B
36,NIO,6.91 B
37,Ferrari,6.25 B
38,Tofaş Türk Otomobil Fabrikası,4.07 B
39,Seres Group,3.94 B
40,Rivian,3.78 B
41,XPeng,3.22 B
42,Polestar,2.82 B
43,Aston Martin,1.83 B
44,Leapmotor,1.79 B
45,VinFast Auto,0.95 B
46,Lucid Motors,0.69 B
47,Force Motors,0.67 B
48,Kandi Technologies Group,0.13 B
49,Nikola,31.31 M
50,Cenntro Electric Group,12.74 M
51,Arcimoto,7.52 M
52,Phoenix Motor,5.09 M
53,Electra Meccanica,4.83 M
54,Fisker,1.34 M
55,Mullen Automotive,0.3 M
