Rank,Company,Earnings
1,Amazon,$26.07 B
2,Alibaba,$23.12 B
3,Pinduoduo,$6.88 B
4,Jingdong Mall,$4.91 B
5,eBay,$2.39 B
6,MercadoLibre,$1.63 B
7,Copart,$1.57 B
8,Schibsted,$1.49 B
9,Vipshop,$1.32 B
10,Sea (Garena),$0.82 B
11,Coupang,$0.54 B
12,ZOZO,$0.41 B
13,Americanas,$0.33 B
14,Etsy,$0.31 B
15,Meituan,$0.27 B
16,Monotaro,$0.21 B
17,momo.com Inc.,$0.14 B
18,Mercari,$0.13 B
19,Zalando,$0.12 B
20,JD Health,$0.10 B
21,Vivid Seats,$98.58 M
22,CEWE,$83.9 M
23,Alibaba Health Information Technology,$80.19 M
24,Instacart (Maplebear Inc.),$62 M
25,Chewy,$54.49 M
26,IndiaMART,$53.61 M
27,Allied Tecnologia,$43.42 M
28,Revolve,$43.25 M
29,Wirtualna Polska (WP Holding),$42.14 M
30,MSTC Limited,$40.1 M
31,Liquidity Services,$24.97 M
32,Infibeam Avenues,$22.84 M
33,Nykaa,$14.35 M
34,Polished.com,$13.93 M
35,VTEX,$1.55 M
36,Natural Health Trends,$0.72 M
37,Jeffs' Brands,-$1.89 M
38,Cimpress,-$2.16 M
39,Hour Loop,-$3.26 M
40,1-800-PetMeds,-$6.45 M
41,Webuy Global,-$6.71 M
42,MYT Netherlands Parent (Mytheresa),-$7.11 M
43,CarParts.com,-$7.46 M
44,PFSweb,-$8.1 M
45,Kidpik,-$8.12 M
46,Treasure Global,-$10.25 M
47,Yunji,-$10.64 M
48,Lulu's Fashion Lounge,-$12.49 M
49,Hong Kong Technology Venture Company (HKTV),-$13.22 M
50,Kaspien,-$13.47 M
51,Newegg,-$14.32 M
52,Uxin Limited,-$17.03 M
53,Upexi,-$18.48 M
54,Grove Collaborative,-$28.91 M
55,1stdibs.Com,-$29.87 M
56,Dingdong Maicai,-$34.38 M
57,Katapult Holdings,-$38.22 M
58,Mister Spex,-$45.89 M
59,Redcare Pharmacy,-$53.82 M
60,Nogin,-$54.38 M
61,Onion Global,-$55.63 M
62,Overstock.com,-$56.19 M
63,The Original BARK Company,-$58.88 M
64,Baozun,-$62.33 M
65,LightInTheBox Holding,-$66.75 M
66,ThredUp,-$81.7 M
67,BigCommerce,-$99.39 M
68,Groupon,-$0.11 B
69,Boohoo Group,-$0.11 B
70,Rent the Runway,-$0.12 B
71,Shift Technologies,-$0.13 B
72,Global Fashion Group,-$0.14 B
73,Jumia,-$0.14 B
74,Allegro.eu,-$0.15 B
75,Global-e,-$0.15 B
76,Bukalapak.com,-$0.16 B
77,Zur Rose Group,-$0.17 B
78,a.k.a. Brands,-$0.19 B
79,Dada Nexus,-$0.19 B
80,About You,-$0.2 B
81,Lightspeed POS,-$0.21 B
82,The RealReal,-$0.21 B
83,Ozon,-$0.29 B
84,ASOS,-$0.38 B
85,ContextLogic (wish.com),-$0.43 B
86,Carvana,-$0.45 B
87,Ocado,-$0.5 B
88,SIGNA Sports United,-$0.6 B
89,THG (The Hut Group),-$0.6 B
90,Missfresh,-$0.6 B
91,Wayfair,-$0.9 B
92,Shopify,-$1.12 B
93,Rakuten,-$1.39 B
94,Adevinta,-$1.68 B
95,GoTo,-$1.9 B
