Rank,Category,Company,Market_Capital,Country
1,🛒 E-Commerce,Amazon,1.518 T,USA
2,🛒 E-Commerce,Alibaba,200.46 B,China
3,🛒 E-Commerce,Pinduoduo,159.27 B,China
4,🛒 E-Commerce,Shopify,90.70 B,Canada
5,🛒 E-Commerce,Meituan,87.39 B,China
6,🛒 E-Commerce,MercadoLibre,77.82 B,Argentina
7,🛒 E-Commerce,Copart,48.59 B,USA
8,🛒 E-Commerce,Jingdong Mall,46.33 B,China
9,🛒 E-Commerce,Coupang,29.12 B,S. Korea
10,🛒 E-Commerce,eBay,21.53 B,USA
11,🛒 E-Commerce,Sea (Garena),20.69 B,Singapore
12,🛒 E-Commerce,JD Health,15.99 B,China
13,🛒 E-Commerce,Adevinta,12.65 B,Norway
14,🛒 E-Commerce,Vipshop,8.88 B,China
15,🛒 E-Commerce,Chewy,8.78 B,USA
16,🛒 E-Commerce,Etsy,8.62 B,USA
17,🛒 E-Commerce,Rakuten,8.27 B,Japan
18,🛒 E-Commerce,Alibaba Health Information Technology,7.93 B,Hong Kong
19,🛒 E-Commerce,Allegro.eu,7.84 B,Poland
20,🛒 E-Commerce,Instacart (Maplebear Inc.),7.07 B,USA
21,🛒 E-Commerce,GoTo,6.52 B,Indonesia
22,🛒 E-Commerce,ZOZO,6.47 B,Japan
23,🛒 E-Commerce,Zalando,6.46 B,Germany
24,🛒 E-Commerce,Ocado,6.35 B,UK
25,🛒 E-Commerce,Nykaa,5.88 B,India
26,🛒 E-Commerce,Wayfair,5.78 B,USA
27,🛒 E-Commerce,Carvana,5.56 B,USA
28,🛒 E-Commerce,Schibsted,5.43 B,Norway
29,🛒 E-Commerce,Global-e,5.18 B,Israel
30,🛒 E-Commerce,Monotaro,4.93 B,Japan
31,🛒 E-Commerce,momo.com Inc.,3.81 B,Taiwan
32,🛒 E-Commerce,Mercari,3.25 B,Japan
33,🛒 E-Commerce,Lightspeed POS,2.51 B,Canada
34,🛒 E-Commerce,Redcare Pharmacy,2.49 B,Netherlands
35,🛒 E-Commerce,Cimpress,1.90 B,Ireland
36,🛒 E-Commerce,IndiaMART,1.87 B,India
37,🛒 E-Commerce,Vivid Seats,1.70 B,USA
38,🛒 E-Commerce,Bukalapak.com,1.39 B,Indonesia
39,🛒 E-Commerce,VTEX,1.30 B,UK
40,🛒 E-Commerce,THG (The Hut Group),1.29 B,UK
41,🛒 E-Commerce,Revolve,1.06 B,USA
42,🛒 E-Commerce,Dada Nexus,0.98 B,China
43,🛒 E-Commerce,About You,0.92 B,Germany
44,🛒 E-Commerce,Wirtualna Polska (WP Holding),0.81 B,Poland
45,🛒 E-Commerce,Overstock.com,0.76 B,USA
46,🛒 E-Commerce,CEWE,0.74 B,Germany
47,🛒 E-Commerce,Infibeam Avenues,0.69 B,India
48,🛒 E-Commerce,BigCommerce,0.66 B,USA
49,🛒 E-Commerce,Liquidity Services,0.63 B,USA
50,🛒 E-Commerce,ASOS,0.57 B,UK
51,🛒 E-Commerce,Boohoo Group,0.55 B,UK
52,🛒 E-Commerce,Dingdong Maicai,0.46 B,China
53,🛒 E-Commerce,Zur Rose Group,0.45 B,Switzerland
54,🛒 E-Commerce,MSTC Limited,0.36 B,India
55,🛒 E-Commerce,Newegg,0.36 B,USA
56,🛒 E-Commerce,Groupon,0.33 B,USA
57,🛒 E-Commerce,Webuy Global,0.32 B,Singapore
58,🛒 E-Commerce,Jumia,0.31 B,Germany
59,🛒 E-Commerce,Hong Kong Technology Venture Company (HKTV),0.30 B,Hong Kong
60,🛒 E-Commerce,MYT Netherlands Parent (Mytheresa),0.25 B,Germany
61,🛒 E-Commerce,The RealReal,0.23 B,USA
62,🛒 E-Commerce,ThredUp,0.21 B,USA
63,🛒 E-Commerce,Americanas,0.20 B,Brazil
64,🛒 E-Commerce,CarParts.com,0.18 B,USA
65,🛒 E-Commerce,Baozun,0.18 B,China
66,🛒 E-Commerce,1stdibs.Com,0.17 B,USA
67,🛒 E-Commerce,PFSweb,0.17 B,USA
68,🛒 E-Commerce,1-800-PetMeds,0.15 B,USA
69,🛒 E-Commerce,LightInTheBox Holding,0.14 B,Singapore
70,🛒 E-Commerce,The Original BARK Company,0.14 B,USA
71,🛒 E-Commerce,Allied Tecnologia,0.11 B,Brazil
72,🛒 E-Commerce,ContextLogic (wish.com),0.11 B,USA
73,🛒 E-Commerce,Mister Spex,0.10 B,Germany
74,🛒 E-Commerce,a.k.a. Brands,0.10 B,USA
75,🛒 E-Commerce,Lulu's Fashion Lounge,93.08 M,USA
76,🛒 E-Commerce,Grove Collaborative,86.5 M,USA
77,🛒 E-Commerce,Natural Health Trends,61.38 M,USA
78,🛒 E-Commerce,Global Fashion Group,58.49 M,Luxembourg
79,🛒 E-Commerce,Uxin Limited,52.67 M,China
80,🛒 E-Commerce,Hour Loop,48.41 M,USA
81,🛒 E-Commerce,Katapult Holdings,40.24 M,USA
82,🛒 E-Commerce,Rent the Runway,39.61 M,USA
83,🛒 E-Commerce,SIGNA Sports United,36.31 M,Germany
84,🛒 E-Commerce,Upexi,19.29 M,USA
85,🛒 E-Commerce,Yunji,16.59 M,China
86,🛒 E-Commerce,Missfresh,8.14 M,China
87,🛒 E-Commerce,Treasure Global,5.8 M,Malaysia
88,🛒 E-Commerce,Kidpik,4.04 M,USA
89,🛒 E-Commerce,Nogin,3.32 M,USA
90,🛒 E-Commerce,Shift Technologies,2.89 M,USA
91,🛒 E-Commerce,Jeffs' Brands,2.86 M,Israel
92,🛒 E-Commerce,Polished.com,2.57 M,USA
93,🛒 E-Commerce,Onion Global,1.05 M,China
94,🛒 E-Commerce,Kaspien,0.75 M,USA
