Rank,Company,PE_Ratio
1,Polished.com,0.8977
2,Schibsted,3.90
3,Vipshop,8.45
4,Allied Tecnologia,9.51
5,Vivid Seats,11.6
6,Americanas,11.9
7,MSTC Limited,12.4
8,CEWE,13.2
9,Jingdong Mall,14.3
10,eBay,16.7
11,Alibaba,16.8
12,ZOZO,21.8
13,Pinduoduo,26.3
14,Etsy,26.6
15,Wirtualna Polska (WP Holding),26.7
16,Uxin Limited,27.7
17,Liquidity Services,28.1
18,Revolve,33.3
19,Monotaro,33.5
20,momo.com Inc.,34.1
21,Copart,39.3
22,Infibeam Avenues,40.5
23,IndiaMART,48.9
24,Coupang,67.7
25,Zalando,69.9
26,Amazon,74.9
27,MercadoLibre,77.5
28,Sea (Garena),78.7
29,Mercari,83.2
30,Natural Health Trends,135
31,Chewy,170
32,Alibaba Health Information Technology,455
33,Nykaa,> 1000
34,Shopify,-78.8
35,Jumia,-1.96
36,Rakuten,-2.53
37,Wayfair,-5.90
38,Cimpress,-12.1
39,Groupon,-2.00
40,Adevinta,-6.76
41,The RealReal,-1.06
42,Overstock.com,-4.67
43,CarParts.com,-21.3
44,BigCommerce,-6.11
45,ContextLogic (wish.com),-0.2740
46,1-800-PetMeds,-25.6
47,JD Health,-94.3
48,Lightspeed POS,-2.53
49,Newegg,-15.7
50,The Original BARK Company,-2.40
51,Mister Spex,-2.27
52,Global-e,-29.4
53,Baozun,-2.16
54,Meituan,-60.9
56,Missfresh,-0.0048
57,VTEX,-50.9
58,Kidpik,-0.4075
59,Rent the Runway,-0.3071
60,Onion Global,-0.0164
61,Allegro.eu,-23.6
62,Lulu's Fashion Lounge,-6.82
63,Hour Loop,-20.2
64,MYT Netherlands Parent (Mytheresa),-15.5
65,a.k.a. Brands,-0.5431
66,ThredUp,-2.55
67,Kaspien,-0.0517
68,GoTo,-4.60
69,SIGNA Sports United,-0.0574
70,Bukalapak.com,-2.24
71,Ocado,-997
73,THG (The Hut Group),-558
74,Shift Technologies,-0.0138
75,Grove Collaborative,-2.80
76,Treasure Global,-0.3212
77,Dada Nexus,-5.17
78,Jeffs' Brands,-12.3
79,1stdibs.Com,-5.18
80,Yunji,-0.1129
81,Boohoo Group,-568
82,Zur Rose Group,-2.30
83,Dingdong Maicai,-8.17
84,Global Fashion Group,-0.2503
85,Carvana,-2.54
86,Upexi,-3.56
87,Nogin,-0.0230
89,About You,-4.40
90,Katapult Holdings,-0.9990
92,LightInTheBox Holding,-2.67
95,Redcare Pharmacy,-53.1
