Rank,Company,Earnings
1,Nestlé,$12.21 B
2,McDonald,$10.34 B
3,Unilever,$8.07 B
4,Danone,$5.50 B
5,Mondelez,$5.48 B
6,Archer Daniels Midland (ADM),$5.38 B
7,Kraft Heinz,$3.73 B
8,Bunge,$3.14 B
9,Ahold Delhaize,$3.00 B
10,General Mills,$2.95 B
11,Sysco,$2.89 B
12,George Weston,$2.75 B
13,Wilmar International,$2.62 B
14,The Hershey Company,$2.36 B
15,X5 Retail Group,$2.32 B
16,WH Group,$2.29 B
17,Grupo Bimbo,$2.23 B
18,Muyuan Foods,$2.04 B
19,Hindustan Unilever,$1.67 B
20,Uni-President Enterprises,$1.64 B
21,Compass Group,$1.64 B
22,Associated British Foods,$1.63 B
23,Conagra Brands,$1.60 B
24,Chipotle Mexican Grill,$1.55 B
25,Campbell Soup,$1.34 B
26,Restaurant Brands International,$1.33 B
27,Aramark,$1.29 B
28,Indofood,$1.28 B
29,Darden Restaurants,$1.20 B
30,Hormel Foods,$1.19 B
31,Yum China,$1.16 B
32,Südzucker,$1.10 B
33,Ajinomoto,$1.10 B
34,Kellogg's,$1.08 B
35,Darling Ingredients,$1.05 B
36,Mowi,$1.05 B
37,Foshan Haitian Flavouring and Food,$0.99 B
38,DSM-Firmenich,$0.97 B
39,Olam,$0.96 B
40,Mengniu Dairy,$0.94 B
41,Lamb Weston,$0.93 B
42,Kirin Holdings,$0.87 B
43,Cal-Maine Foods,$0.82 B
44,Indofood CBP,$0.82 B
45,Performance Food Group,$0.80 B
46,Empire Company,$0.79 B
47,Domino's Pizza,$0.79 B
48,Ingredion,$0.78 B
49,Chocoladefabriken Lindt & Sprüngli,$0.78 B
50,McCormick & Company,$0.76 B
51,Kerry Group,$0.74 B
52,Want Want China,$0.72 B
53,Post Holdings,$0.69 B
54,Fonterra,$0.68 B
55,Gruma (Maseca),$0.68 B
56,Meiji Holdings,$0.68 B
57,Saputo,$0.67 B
58,Tingyi (master kang),$0.66 B
59,Barry Callebaut,$0.60 B
60,US Foods,$0.60 B
61,SalMar ASA,$0.59 B
62,Dali Foods Group,$0.58 B
63,Almarai,$0.57 B
64,Nissin Foods,$0.54 B
65,Nestlé India,$0.50 B
66,Bid Corp,$0.49 B
67,Kikkoman,$0.47 B
68,Austevoll Seafood,$0.45 B
69,PPB Group Berhad,$0.43 B
70,Unilever Indonesia,$0.42 B
71,Toyo Suisan,$0.40 B
72,Bachoco,$0.40 B
73,ORION,$0.39 B
74,Nomad Foods,$0.38 B
75,Leroy Seafood,$0.38 B
76,AAK,$0.34 B
77,Bloomin' Brands,$0.34 B
78,Texas Roadhouse,$0.34 B
79,Sprouts Farmers Market,$0.34 B
80,East India Distilleries Parry,$0.33 B
81,Chr. Hansen,$0.31 B
82,Hai Di Lao Hot Pot,$0.30 B
83,Jollibee,$0.30 B
84,Jack in the Box,$0.28 B
85,Arcos Dorados Holdings,$0.28 B
86,Savola Group,$0.27 B
87,Wendy’s Company,$0.27 B
88,Glanbia plc,$0.25 B
89,McDonald's Japan,$0.25 B
90,Pilgrim's Pride,$0.25 B
91,Emmi AG,$0.24 B
92,Mayora,$0.24 B
93,J.M. Smucker Company,$0.23 B
94,Premium Brands,$0.22 B
95,Tiger Brands,$0.21 B
96,Hostess Brands,$0.21 B
97,Kobe Bussan,$0.21 B
98,Dole PLC,$0.21 B
99,Ottogi,$0.21 B
100,Thai Union Group,$0.21 B
101,Ebro Foods,$0.20 B
102,Flowers Foods,$0.20 B
103,Charoen Pokphand Indonesia,$0.19 B
104,Nestle Malaysia,$0.19 B
105,Brinker International,$0.18 B
106,Tate & Lyle,$0.18 B
107,Migros Ticaret A.S.,$0.18 B
108,Greggs,$0.17 B
109,Simply Good Foods,$0.17 B
110,Lancaster Colony Corporation,$0.17 B
