Rank,Company,Employees
1,Compass Group,"500,000"
2,Sodexo,"422,000"
3,Ahold Delhaize,"414,000"
4,Yum China,"400,000"
5,X5 Retail Group,"325,000"
6,Nestlé,"275,000"
7,Aramark,"273,875"
8,JBS,"260,000"
9,George Weston,"221,285"
10,Darden Restaurants,"190,000"
11,Tyson Foods,"142,000"
12,Grupo Bimbo,"141,824"
13,Muyuan Foods,"140,403"
14,Associated British Foods,"132,000"
15,Empire Company,"131,000"
16,Unilever,"126,988"
17,Chipotle Mexican Grill,"104,958"
18,WH Group,"104,000"
19,McDonald,"100,000"
20,Wilmar International,"100,000"
21,BRF,"100,000"
22,Danone,"96,166"
23,Indofood,"91,246"
24,Mondelez,"91,000"
25,Bloomin' Brands,"87,000"
26,Texas Roadhouse,"82,000"
27,Hai Di Lao Hot Pot,"73,987"
28,Sysco,"71,000"
29,Tingyi (master kang),"64,302"
30,Brinker International,"62,025"
31,Pilgrim's Pride,"62,000"
32,Delivery Hero,"51,444"
33,The Cheesecake Factory,"47,500"
34,Migros Ticaret A.S.,"47,434"
35,Mengniu Dairy,"47,329"
36,Olam,"43,100"
37,Want Want China,"41,229"
38,Archer Daniels Midland (ADM),"40,360"
39,Dali Foods Group,"39,518"
40,Dole PLC,"37,422"
41,Kraft Heinz,"37,000"
42,SSP Group,"37,000"
43,Indofood CBP,"35,438"
44,Performance Food Group,"35,000"
45,Almarai,"34,670"
46,Ajinomoto,"34,615"
47,General Mills,"34,000"
48,Bachoco,"32,000"
49,Sprouts Farmers Market,"31,000"
50,Kirin Holdings,"30,538"
51,Kellogg's,"30,000"
52,Jubilant FoodWorks,"29,346"
53,Fresh Del Monte Produce,"29,168"
54,US Foods,"29,000"
55,Greggs,"28,493"
56,(DIA) Distribuidora Internacional de Alimentación,"26,686"
57,Bid Corp,"24,978"
58,Red Robin,"24,335"
59,Just Eat Takeaway,"24,000"
60,Krispy Kreme,"23,500"
61,Gruma (Maseca),"23,500"
62,Bunge,"23,000"
63,Kerry Group,"23,000"
64,AmRest,"22,450"
65,BJ's Restaurants,"22,225"
66,Savencia Fromage & Dairy,"21,797"
67,Hormel Foods,"20,000"
68,Ocado,"19,744"
69,Fonterra,"19,608"
70,HelloFresh,"19,595"
71,Café de Coral,"19,555"
72,DSM-Firmenich,"19,263"
73,Saputo,"19,200"
74,Südzucker,"19,087"
75,Hindustan Unilever,"18,970"
76,Conagra Brands,"18,600"
77,Strauss Group,"18,160"
78,The Hershey Company,"18,075"
79,The Restaurant Group plc,"18,000"
80,Meiji Holdings,"17,290"
81,DoorDash,"16,800"
82,Devyani International,"15,685"
83,Nissin Foods,"15,227"
84,Campbell Soup,"14,700"
85,SATS,"14,600"
86,Darling Ingredients,"14,600"
87,McCormick & Company,"14,200"
88,Chocoladefabriken Lindt & Sprüngli,"14,000"
89,Maple Leaf Foods,"14,000"
90,Barry Callebaut,"13,672"
91,Mayora,"13,194"
92,Ingredion,"12,000"
93,Papa John's Pizza,"12,000"
94,First Watch Restaurant,"12,000"
95,Grab Holdings,"11,934"
96,Jollibee,"11,823"
97,Shake Shack,"11,704"
98,SpartanNash,"10,500"
99,Cranswick,"10,422"
100,Post Holdings,"10,420"
101,Mowi,"10,381"
102,Tiger Brands,"10,158"
103,Emmi AG,"9,368"
104,AVI Limited,"9,315"
105,Flowers Foods,"9,200"
106,Charoen Pokphand Indonesia,"9,099"
107,Agrana,"8,797"
108,Nestlé India,"8,117"
