Rank,Company,PE_Ratio
1,Biglari,1.96
2,GEN Restaurant Group,2.15
3,Cal-Maine Foods,3.64
4,Südzucker,4.89
5,Ottogi,4.98
6,Fonterra,5.80
7,Indofood,6.04
8,Kyokuyo,6.58
9,Bachoco,8.28
10,Bunge,8.37
11,Bloomin' Brands,8.62
12,Darling Ingredients,8.80
13,Agrana,9.19
14,Dine Brands Global,9.34
15,Grupo Bimbo,9.83
16,Fresh Del Monte Produce,9.93
17,Archer Daniels Midland (ADM),10.3
18,Migros Ticaret A.S.,10.4
19,Dole PLC,10.5
20,Jack in the Box,10.7
21,PPB Group Berhad,11.1
22,Ahold Delhaize,11.2
23,Brinker International,11.3
24,Dhampur Sugar Mills,11.5
25,Muyuan Foods,11.6
26,ORION,11.7
27,Thai Union Group,11.8
28,East India Distilleries Parry,11.9
29,Ingredion,12.0
30,JBS,12.1
31,Empire Company,12.4
32,Conagra Brands,12.5
33,Seneca Foods,12.9
34,AVI Limited,12.9
35,Nomad Foods,13.0
36,Austevoll Seafood,13.1
37,MTY Food Group,13.2
38,Cloetta,13.2
39,El Pollo Loco,13.3
40,George Weston,13.4
41,Aramark,13.5
42,Nathan's Famous,13.7
43,Meiji Holdings,13.8
44,Lamb Weston,14.2
45,Campbell Soup,14.2
46,Kraft Heinz,14.3
47,Indofood CBP,14.3
48,Arcos Dorados Holdings,14.5
49,Vadilal Industries,14.9
50,General Mills,15.7
51,Post Holdings,15.7
52,Pizza Pizza,16.0
53,Nongshim,16.2
54,Brim hf.,16.5
55,Sprouts Farmers Market,17.0
56,The ONE Group Hospitality,17.4
57,Saputo,17.6
58,Bafang Yunji,18.4
59,Samyang Foods,18.4
60,The Cheesecake Factory,18.5
61,Denny's,18.7
62,SpartanNash,18.8
63,Darden Restaurants,19.3
64,Kirin Holdings,19.4
65,Gruma (Maseca),19.8
66,Zad Holding Company,19.8
67,The Hershey Company,20.1
68,Sysco,20.1
69,Ebro Foods,20.2
70,Hormel Foods,20.2
71,Flowers Foods,20.3
72,Wendy’s Company,20.5
73,Toyo Suisan,20.7
74,Uni-President Enterprises,20.9
75,Kellogg's,20.9
76,Restaurant Brands International,21.3
77,Mondelez,21.3
78,Mowi,21.3
79,Mayora,21.5
80,AAK,21.9
81,US Foods,22.5
82,Chuy's,23.9
83,Yum China,24.0
84,Rave Restaurant Group,24.4
85,Performance Food Group,24.6
86,McDonald,24.7
87,Bid Corp,24.7
