Rank,Company,Revenue
1,Nestlé,102.59 B
2,Archer Daniels Midland (ADM),97.18 B
3,Ahold Delhaize,95.75 B
4,Sysco,76.81 B
5,JBS,71.12 B
6,Bunge,61.26 B
7,Unilever,58.20 B
8,Performance Food Group,57.47 B
9,Tyson Foods,52.88 B
10,George Weston,43.45 B
11,Wilmar International,42.64 B
12,X5 Retail Group,40.42 B
13,Mondelez,35.39 B
14,US Foods,35.17 B
15,Compass Group,28.49 B
16,WH Group,28.13 B
17,Kraft Heinz,27.16 B
18,McDonald,25.01 B
19,Olam,24.28 B
20,Associated British Foods,24.08 B
21,Empire Company,22.77 B
22,Grupo Bimbo,22.66 B
23,General Mills,20.28 B
24,Aramark,18.85 B
25,Muyuan Foods,18.06 B
26,Uni-President Enterprises,18.05 B
27,Sodexo,17.05 B
28,Charoen Pokphand Foods,16.99 B
29,Pilgrim's Pride,16.96 B
30,Danone,16.71 B
31,Kellogg's,15.86 B
32,Kirin Holdings,14.90 B
33,Fonterra,14.41 B
34,Mengniu Dairy,13.42 B
35,Saputo,13.05 B
36,DSM-Firmenich,12.96 B
37,Conagra Brands,12.27 B
38,Hormel Foods,12.19 B
39,The Hershey Company,11.16 B
40,Darden Restaurants,10.77 B
41,BRF,10.63 B
42,Südzucker,10.60 B
43,Yum China,10.57 B
44,Bid Corp,10.47 B
45,Ajinomoto,9.97 B
46,SpartanNash,9.82 B
47,Barry Callebaut,9.64 B
48,Chipotle Mexican Grill,9.53 B
49,Kerry Group,9.39 B
50,Campbell Soup,9.35 B
51,Tingyi (master kang),9.12 B
52,Dole PLC,8.75 B
53,J.M. Smucker Company,8.46 B
54,Ingredion,8.22 B
55,HelloFresh,8.19 B
56,DoorDash,8.15 B
57,Meiji Holdings,7.83 B
58,(DIA) Distribuidora Internacional de Alimentación,7.82 B
59,Indofood,7.46 B
60,Hindustan Unilever,7.36 B
61,Savola Group,7.16 B
62,Savencia Fromage & Dairy,7.01 B
63,Post Holdings,6.99 B
64,Darling Ingredients,6.94 B
65,Restaurant Brands International,6.89 B
66,Sprouts Farmers Market,6.71 B
67,Adani Wilmar,6.60 B
68,McCormick & Company,6.60 B
69,Gruma (Maseca),6.49 B
70,Glanbia plc,6.48 B
71,Just Eat Takeaway,5.95 B
72,Lamb Weston,5.89 B
73,Mowi,5.81 B
74,Migros Ticaret A.S.,5.51 B
75,Flowers Foods,5.49 B
76,Chocoladefabriken Lindt & Sprüngli,5.38 B
77,Almarai,5.19 B
78,Nissin Foods,5.04 B
79,Bachoco,4.96 B
80,Premium Brands,4.70 B
81,Emmi AG,4.57 B
82,AAK,4.57 B
83,Kikkoman,4.56 B
84,Bloomin' Brands,4.54 B
85,Hai Di Lao Hot Pot,4.50 B
86,Texas Roadhouse,4.47 B
87,Indofood CBP,4.40 B
88,Fresh Del Monte Produce,4.35 B
89,Jollibee,4.30 B
90,East India Distilleries Parry,4.27 B
91,Brinker International,4.19 B
92,Thai Union Group,4.13 B
93,Domino's Pizza,4.10 B
94,Agrana,4.05 B
95,Arcos Dorados Holdings,3.97 B
96,Charoen Pokphand Indonesia,3.97 B
97,Patanjali Foods,3.80 B
98,Maple Leaf Foods,3.62 B
99,TreeHouse Foods,3.60 B
100,Foshan Haitian Flavouring and Food,3.57 B
101,The Cheesecake Factory,3.45 B
102,Want Want China,3.33 B
103,Toyo Suisan,3.28 B
104,The Chefs' Warehouse,3.27 B
105,Kobe Bussan,3.21 B
106,Nomad Foods,3.20 B
107,Austevoll Seafood,3.18 B
108,Ebro Foods,3.17 B
109,Dingdong Maicai,3.12 B
110,Ocado,3.00 B
111,Cal-Maine Foods,2.94 B
112,Dali Foods Group,2.89 B
113,Cranswick,2.87 B
114,Leroy Seafood,2.80 B
115,Italmobiliare,2.79 B
116,McDonald's Japan,2.69 B
117,Sligro Food,2.65 B
118,Unilever Indonesia,2.63 B
119,AmRest,2.61 B
120,SalMar ASA,2.55 B
121,Ottogi,2.53 B
122,Nongshim,2.51 B
123,SSP Group,2.44 B
124,SATS,2.39 B
125,ORION,2.29 B
126,Nestlé India,2.26 B
127,Grab Holdings,2.20 B
128,Wendy’s Company,2.17 B
129,Tate & Lyle,2.16 B
130,B&G Foods,2.13 B
131,Papa John's Pizza,2.09 B
132,Mayora,2.05 B
133,Kyokuyo,1.95 B
134,Marel,1.89 B
135,Tiger Brands,1.89 B
136,Lancaster Colony Corporation,1.85 B
137,Greggs,1.83 B
138,Carrols Restaurant Group,1.81 B
139,Strauss Group,1.81 B
140,Hain Celestial,1.79 B
141,Jack in the Box,1.71 B
142,Krispy Kreme,1.60 B
143,Corbion,1.56 B
144,J&J Snack Foods,1.55 B
145,Nestle Malaysia,1.54 B
146,Seneca Foods,1.54 B
147,Utz Brands,1.43 B
148,Hostess Brands,1.39 B
149,PPB Group Berhad,1.38 B
150,Chr. Hansen,1.36 B
151,BJ's Restaurants,1.35 B
152,Alto Ingredients,1.29 B
153,Red Robin,1.28 B
154,Simply Good Foods,1.24 B
155,HF Foods Group,1.17 B
156,Zomato,1.12 B
157,Missfresh,1.07 B
158,The Restaurant Group plc,1.07 B
159,Bakkafrost,1.06 B
160,Shake Shack,1.03 B
161,Café de Coral,1.02 B
162,Calavo Growers,0.97 B
163,The a2 Milk Company,0.96 B
164,Sovos Brands,0.94 B
165,Lotus Bakeries,0.93 B
166,Mission Produce,0.93 B
167,Balchem,0.92 B
168,Hatsun Agro Products,0.91 B
169,SunOpta,0.88 B
170,MTY Food Group,0.83 B
171,Dine Brands Global,0.83 B
172,First Watch Restaurant,0.83 B
173,AVI Limited,0.79 B
174,Restaurant Brands New Zealand,0.78 B
175,Oatly,0.76 B
176,Tootsie Roll Industries,0.75 B
177,Cloetta,0.75 B
178,Samyang Foods,0.74 B
179,Freshpet,0.71 B
180,Grieg Seafood,0.69 B
181,CAVA Group,0.68 B
182,Jubilant FoodWorks,0.64 B
183,Portillo's,0.64 B
184,Whole Earth Brands,0.53 B
185,Sweetgreen,0.52 B
186,Noodles & Company,0.51 B
187,Potbelly Corporation,0.48 B
188,El Pollo Loco,0.47 B
189,Denny's,0.46 B
190,Brim hf.,0.45 B
191,Vital Farms,0.44 B
192,Chuy's,0.44 B
193,Wingstop Restaurants,0.43 B
194,Blue Apron Holdings,0.43 B
195,Delivery Hero,0.42 B
196,FAT Brands,0.42 B
197,Fiesta Restaurant Group,0.40 B
198,Zad Holding Company,0.39 B
199,PAR Technology,0.39 B
200,Fairwood Holdings,0.38 B
201,Devyani International,0.38 B
202,Biglari,0.37 B
203,Parag Milk Foods,0.35 B
204,Beyond Meat,0.35 B
205,The ONE Group Hospitality,0.32 B
206,Dhampur Sugar Mills,0.29 B
207,Fine Organics,0.29 B
208,Baladna,0.28 B
209,Village Farms International,0.28 B
210,Alamar Foods Company,0.28 B
211,Bafang Yunji,0.22 B
212,Davis Commodities,0.20 B
213,Olo,0.20 B
214,TH International (Tims China),0.19 B
215,Kura Sushi USA,0.17 B
216,GEN Restaurant Group,0.17 B
217,Arnarlax (Icelandic Salmon),0.16 B
218,Barbeque Nation Hospitality,0.15 B
219,Lifeway Foods,0.15 B
220,Real Good Food plc,0.13 B
221,Nathan's Famous,0.13 B
222,Vadilal Industries,0.13 B
223,Apex Frozen Foods,0.12 B
224,Farmmi,99.21 M
225,Mama's Creations,96.42 M
226,Milkfood Limited,58.62 M
227,Vidhi Specialty Food,44.23 M
228,YanGuFang International Group,36.08 M
229,Pizza Pizza,27.83 M
230,Local Bounti,27.32 M
231,DDC Enterprise,22.93 M
232,Stryve Foods,22.22 M
233,Atlantic Sapphire,18.95 M
234,Edible Garden,12.5 M
235,Rave Restaurant Group,11.88 M
236,AquaBounty,2.29 M
237,Moolec Science,0.9 M
238,BranchOut Food,0.64 M
