Rank,Company,Earnings
1,McDonald,$10.34 B
2,Yum! Brands,$1.78 B
3,Chipotle Mexican Grill,$1.55 B
4,Restaurant Brands International,$1.33 B
5,Darden Restaurants,$1.20 B
6,Yum China,$1.16 B
7,Domino's Pizza,$0.79 B
8,Bloomin' Brands,$0.34 B
9,Texas Roadhouse,$0.34 B
10,Hai Di Lao Hot Pot,$0.30 B
11,Jollibee,$0.30 B
12,Dave & Buster's,$0.29 B
13,Jack in the Box,$0.28 B
14,Arcos Dorados Holdings,$0.28 B
15,Wendy’s Company,$0.27 B
16,McDonald's Japan,$0.25 B
17,Brinker International,$0.18 B
18,Dine Brands Global,$0.16 B
19,Biglari,$0.14 B
20,Papa John's Pizza,$0.14 B
21,AmRest,$0.13 B
22,Wingstop Restaurants,$0.11 B
23,The Cheesecake Factory,$85.3 M
24,MTY Food Group,$77.52 M
25,Denny's,$56.83 M
26,Portillo's,$48.63 M
27,Devyani International,$40.52 M
28,Nathan's Famous,$34.39 M
29,El Pollo Loco,$32.32 M
30,First Watch Restaurant,$30.82 M
31,Chuy's,$30.17 M
32,SSP Group,$28.14 M
33,Restaurant Brands New Zealand,$26.88 M
34,Pizza Pizza,$26.51 M
35,Bafang Yunji,$25.32 M
36,GEN Restaurant Group,$18.77 M
37,Café de Coral,$18.36 M
38,The ONE Group Hospitality,$13.42 M
39,Shake Shack,$12.8 M
40,BJ's Restaurants,$11.65 M
41,Fairwood Holdings,$10.61 M
42,Barbeque Nation Hospitality,$8.82 M
43,Potbelly Corporation,$8.78 M
44,Rave Restaurant Group,$2.15 M
45,Carrols Restaurant Group,$1.07 M
46,Noodles & Company,$0.85 M
47,Kura Sushi USA,$0.68 M
49,Fiesta Restaurant Group,-$4.93 M
50,CAVA Group,-$8.04 M
51,Red Robin,-$50.79 M
52,The Restaurant Group plc,-$0.11 B
53,TH International (Tims China),-$0.12 B
54,FAT Brands,-$0.12 B
55,Sweetgreen,-$0.16 B
