Rank,Category,Company,Market_Capital,Country
1,🍔 Restaurant chains,McDonald,204.40 B,USA
2,🍔 Restaurant chains,Chipotle Mexican Grill,60.85 B,USA
3,🍔 Restaurant chains,Yum! Brands,36.01 B,USA
4,🍔 Restaurant chains,Restaurant Brands International,30.76 B,Canada
5,🍔 Restaurant chains,Darden Restaurants,18.79 B,USA
6,🍔 Restaurant chains,Yum China,18.48 B,China
7,🍔 Restaurant chains,Domino's Pizza,12.89 B,USA
8,🍔 Restaurant chains,Hai Di Lao Hot Pot,11.87 B,China
9,🍔 Restaurant chains,Americana Restaurants International,7.89 B,UAE
10,🍔 Restaurant chains,Texas Roadhouse,7.50 B,USA
11,🍔 Restaurant chains,Wingstop Restaurants,6.92 B,USA
12,🍔 Restaurant chains,McDonald's Japan,5.63 B,Japan
13,🍔 Restaurant chains,Jollibee,4.82 B,Philippines
14,🍔 Restaurant chains,Wendy’s Company,3.97 B,USA
15,🍔 Restaurant chains,CAVA Group,3.90 B,USA
16,🍔 Restaurant chains,Devyani International,2.63 B,India
17,🍔 Restaurant chains,Shake Shack,2.62 B,USA
18,🍔 Restaurant chains,Arcos Dorados Holdings,2.43 B,Uruguay
19,🍔 Restaurant chains,Papa John's Pizza,2.19 B,USA
20,🍔 Restaurant chains,SSP Group,2.11 B,UK
21,🍔 Restaurant chains,Bloomin' Brands,2.07 B,USA
22,🍔 Restaurant chains,Dave & Buster's,1.67 B,USA
23,🍔 Restaurant chains,The Cheesecake Factory,1.64 B,USA
24,🍔 Restaurant chains,Brinker International,1.56 B,USA
25,🍔 Restaurant chains,Jack in the Box,1.37 B,USA
26,🍔 Restaurant chains,AmRest,1.37 B,Spain
27,🍔 Restaurant chains,Sweetgreen,1.06 B,USA
28,🍔 Restaurant chains,First Watch Restaurant,1.05 B,USA
29,🍔 Restaurant chains,MTY Food Group,0.92 B,Canada
30,🍔 Restaurant chains,Portillo's,0.82 B,USA
31,🍔 Restaurant chains,Café de Coral,0.74 B,Hong Kong
32,🍔 Restaurant chains,BJ's Restaurants,0.70 B,USA
33,🍔 Restaurant chains,Dine Brands Global,0.68 B,USA
34,🍔 Restaurant chains,Kura Sushi USA,0.68 B,USA
35,🍔 Restaurant chains,The Restaurant Group plc,0.63 B,UK
36,🍔 Restaurant chains,Chuy's,0.60 B,USA
37,🍔 Restaurant chains,Denny's,0.51 B,USA
38,🍔 Restaurant chains,Biglari,0.45 B,USA
39,🍔 Restaurant chains,Carrols Restaurant Group,0.41 B,USA
40,🍔 Restaurant chains,Bafang Yunji,0.36 B,Taiwan
41,🍔 Restaurant chains,Pizza Pizza,0.34 B,Canada
42,🍔 Restaurant chains,Barbeque Nation Hospitality,0.28 B,India
43,🍔 Restaurant chains,El Pollo Loco,0.28 B,USA
44,🍔 Restaurant chains,TH International (Tims China),0.27 B,China
45,🍔 Restaurant chains,Restaurant Brands New Zealand,0.27 B,New Zealand
46,🍔 Restaurant chains,Potbelly Corporation,0.27 B,USA
47,🍔 Restaurant chains,Nathan's Famous,0.27 B,USA
48,🍔 Restaurant chains,Fiesta Restaurant Group,0.22 B,USA
49,🍔 Restaurant chains,GEN Restaurant Group,0.21 B,USA
50,🍔 Restaurant chains,Fairwood Holdings,0.17 B,Hong Kong
51,🍔 Restaurant chains,The ONE Group Hospitality,0.14 B,USA
52,🍔 Restaurant chains,Red Robin,0.14 B,USA
53,🍔 Restaurant chains,Noodles & Company,0.13 B,USA
54,🍔 Restaurant chains,FAT Brands,96.32 M,USA
55,🍔 Restaurant chains,Rave Restaurant Group,35 M,USA
