Rank,Company,PE_Ratio
1,Biglari,1.96
2,GEN Restaurant Group,2.15
3,Bloomin' Brands,8.62
4,Dine Brands Global,9.34
5,Jack in the Box,10.7
6,Brinker International,11.3
7,MTY Food Group,13.2
8,El Pollo Loco,13.3
9,Dave & Buster's,13.4
10,Nathan's Famous,13.7
11,Arcos Dorados Holdings,14.5
12,Pizza Pizza,16.0
13,The ONE Group Hospitality,17.4
14,Bafang Yunji,18.4
15,The Cheesecake Factory,18.5
16,Denny's,18.7
17,Darden Restaurants,19.3
18,Wendy’s Company,20.5
19,Restaurant Brands International,21.3
20,Chuy's,23.9
21,Yum China,24.0
22,Yum! Brands,24.1
23,Rave Restaurant Group,24.4
24,McDonald,24.7
25,Domino's Pizza,25.4
26,Texas Roadhouse,25.6
27,Papa John's Pizza,28.4
28,McDonald's Japan,38.8
29,Jollibee,39.5
30,BJ's Restaurants,45.9
31,First Watch Restaurant,48.0
32,Chipotle Mexican Grill,52.3
33,Portillo's,53.1
34,Potbelly Corporation,55.0
35,Hai Di Lao Hot Pot,60.1
36,Wingstop Restaurants,102
37,Devyani International,106
38,Café de Coral,276
39,AmRest,511
40,Shake Shack,> 1000
41,Kura Sushi USA,> 1000
42,Fiesta Restaurant Group,-40.4
43,Red Robin,-2.91
45,Carrols Restaurant Group,-24.4
46,Barbeque Nation Hospitality,-948
47,Sweetgreen,-6.77
48,The Restaurant Group plc,-752
49,SSP Group,< -1000
50,Noodles & Company,-52.7
51,TH International (Tims China),-2.17
53,FAT Brands,-0.7010
54,CAVA Group,-311
