Rank,Company,Revenue
1,McDonald,25.01 B
2,Darden Restaurants,10.77 B
3,Yum China,10.57 B
4,Chipotle Mexican Grill,9.53 B
5,Yum! Brands,7.05 B
6,Restaurant Brands International,6.89 B
7,Bloomin' Brands,4.54 B
8,Hai Di Lao Hot Pot,4.50 B
9,Texas Roadhouse,4.47 B
10,Jollibee,4.30 B
11,Brinker International,4.19 B
12,Domino's Pizza,4.10 B
13,Arcos Dorados Holdings,3.97 B
14,The Cheesecake Factory,3.45 B
15,McDonald's Japan,2.69 B
16,AmRest,2.61 B
17,SSP Group,2.44 B
18,Dave & Buster's,2.18 B
19,Wendy’s Company,2.17 B
20,Papa John's Pizza,2.09 B
21,Carrols Restaurant Group,1.81 B
22,Jack in the Box,1.71 B
23,BJ's Restaurants,1.35 B
24,Red Robin,1.28 B
25,The Restaurant Group plc,1.07 B
26,Shake Shack,1.03 B
27,Café de Coral,1.02 B
28,MTY Food Group,0.83 B
29,Dine Brands Global,0.83 B
30,First Watch Restaurant,0.83 B
31,Restaurant Brands New Zealand,0.78 B
32,CAVA Group,0.68 B
33,Portillo's,0.64 B
34,Sweetgreen,0.52 B
35,Noodles & Company,0.51 B
36,Potbelly Corporation,0.48 B
37,El Pollo Loco,0.47 B
38,Denny's,0.46 B
39,Chuy's,0.44 B
40,Wingstop Restaurants,0.43 B
41,FAT Brands,0.42 B
42,Fiesta Restaurant Group,0.40 B
43,Fairwood Holdings,0.38 B
44,Devyani International,0.38 B
45,Biglari,0.37 B
46,The ONE Group Hospitality,0.32 B
47,Bafang Yunji,0.22 B
48,TH International (Tims China),0.19 B
49,Kura Sushi USA,0.17 B
50,GEN Restaurant Group,0.17 B
51,Barbeque Nation Hospitality,0.15 B
52,Nathan's Famous,0.13 B
53,Pizza Pizza,27.83 M
54,Rave Restaurant Group,11.88 M
